Employee Code,Gender,Location,Designation,Qualification,Married,Age,Left,Reason,No of Yrs in Org,Total yrs of Exp,Sourcing Channel,Avg rating last 2yrs,Avg rating this yrs,No of Promotions,Satisfaction compensation,Satisfaction benefits,Satisfaction work life balance,Satisfaction learning opportunity,Satisfaction,Hygiene seating arrangement,Hygiene egronomics,Hygiene infrastructure,Sentiment existing processes,Sentiment recently launched policies,Team performanc goal orientation,Team performanc timely delivery,Team performanc managers interpersonal issues ,Transparency channels of feedback,Transparency communication across peers,Transparency communiction with superior,Transparency newly rolled out process,Challenging organizational environment,Curiosity or Skill-will,Control,Competitive  organizational environment,Appropriate recognition,Co-operative environment,Engagement score external,Engagement score Internal,Engagement,Retention case,Avoidable vs Unavoidable (attrition),Rehire in future,Sentiment towards org
E104,Male,NCR,RM5,PGDM/MBA_Mkt,YES,25,1,,4.6,31.9,Reference,4.2,3.31,1,5,4,1,3,3.3,3,5,5,4,2,4,4,4,4,4,3,2,5,5,3,5,5,3,3.54,4.33,3.94,,,,
E105,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,0,0,Reference,NJ-16,NJ-16,0,4,3,4,2,3.3,5,3,5,3,1,1,4,4,4,4,1,1,5,4,5,4,4,4,3.07,4.33,3.70,YES,A,,3
E106,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,25,0,Location,1.6,4.9,IJP,NJ-15,NA,0,4,5,4,3,4.0,2,4,4,2,5,5,4,3,4,4,3,1,4,2,1,4,4,5,3.59,3.33,3.46,NO,NA,NO,2
E107,Male,NCR,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,2.7,5.2,Campus,4.1,NA,0,4,4,3,4,3.8,5,3,4,4,2,4,5,3,1,3,4,5,4,4,1,4,4,2,3.63,3.17,3.40,NO,NA,NO,1
E108,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,25,1,,4.9,10.2,IJP,4.2,3.63,1,3,4,4,3,3.5,5,3,4,4,2,5,4,4,4,4,4,2,4,3,3,4,4,4,3.68,3.67,3.67,,,,
E109,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,22,1,,0,6.3,Agency,NJ-16,NJ-16,0,4,5,4,4,4.1,4,4,5,4,3,4,4,4,3,4,2,1,4,3,3,5,4,5,3.68,4.00,3.84,,,,
E110,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,26,0,Involuntary,2.9,4.9,Online,4.1,NA,0,4,4,2,5,3.8,3,4,4,4,4,3,5,4,4,4,1,3,4,4,2,5,5,5,3.63,4.17,3.90,NO,NA,NO,1
E111,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,23,1,,3.8,3.1,Reference,4.2,3.80,0,5,4,2,5,3.9,5,5,4,4,5,3,5,4,3,5,4,1,4,5,5,4,4,4,3.98,4.33,4.15,,,,
E112,Female,Bangalore,RM1,BBA,YES,27,0,Better Prospects,0,1,Reference,NJ-15,NA,0,3,5,4,5,4.2,5,3,4,4,2,4,4,3,2,4,3,4,4,2,3,4,5,4,3.70,3.67,3.68,NO,NA,NO,1
E113,Female,Mumbai,RM5,PGDM/MBA_Mkt,YES,27,1,,0.9,35.2,Reference,NJ-16,NJ-16,0,4,4,4,4,4.0,5,4,4,4,3,2,4,4,4,5,5,2,4,4,2,3,1,4,3.88,3.00,3.44,,,,
E114,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,27,0,Better Prospects,1.1,5.7,Online,NJ-15,NA,0,4,4,2,4,3.5,5,2,4,3,3,3,4,4,5,5,4,1,5,5,1,3,5,5,3.56,4.00,3.78,NO,NA,NO,2
E115,Female,NCR,RM2,PGDM/MBA_Mkt,YES,29,1,,2.4,5.7,Agency,4.2,4.17,0,2,4,2,5,3.3,4,5,4,4,1,4,4,4,3,5,3,2,4,2,5,4,4,4,3.49,3.83,3.66,,,,
E116,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,28,0,Better Prospects,0,13.7,IJP,NJ-16,NJ-16,0,4,5,2,4,3.8,5,3,4,3,5,1,4,2,4,3,2,1,5,5,4,3,2,3,3.28,3.67,3.47,NO,NA,NO,2
E117,Female,Bangalore,RM1,BBA,YES,24,0,Personal,0.7,2,Reference,NJ-16,NJ-16,0,3,5,4,4,4.0,2,4,4,1,2,2,4,5,2,3,2,4,4,2,2,4,2,4,3.24,3.00,3.12,NO,NA,NO,2
E118,Male,Bangalore,RM1,BBA,NO,23,0,Personal,0.6,2.7,Online,NJ-16,NJ-16,0,4,4,4,4,4.0,1,2,4,4,4,4,4,3,5,5,3,1,5,2,1,5,4,1,3.53,3.00,3.26,NO,NA,NO,1
E119,Male,Mumbai,RM2,PGDM/MBA_Mkt,YES,33,0,Better Prospects,0,6.4,IJP,NJ-16,NJ-16,0,4,4,5,2,3.8,3,1,4,3,3,2,5,3,3,5,1,5,4,4,3,5,3,3,3.34,3.67,3.50,NO,NA,NO,1
E120,Male,Mumbai,RM4,PGDM/MBA_Mkt,YES,29,1,,0.5,25,Online,NJ-16,NJ-16,0,4,4,4,5,4.3,2,4,4,4,2,1,4,2,4,4,2,4,4,3,5,4,4,3,3.43,3.83,3.63,,,,
E121,Male,NCR,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,1.2,3.2,IJP,NJ-15,NA,0,1,4,3,2,2.5,4,3,5,4,2,5,4,4,2,4,3,4,4,2,1,4,4,4,3.32,3.17,3.25,NO,NA,NO,1
E122,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,25,1,,4,3.9,Online,4.3,3.57,1,5,5,4,5,4.8,2,5,5,4,2,2,4,2,1,3,4,1,4,4,4,5,2,4,3.46,3.75,3.60,,,,
E123,Female,Bangalore,RM1,PGDM/MBA_Mkt,YES,27,0,Better Prospects,0.2,1.6,Reference,NJ-16,NJ-16,0,4,4,5,5,4.5,5,4,4,5,1,3,4,2,4,5,3,5,4,4,3,4,4,4,3.97,3.83,3.90,NO,NA,NO,1
E124,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,0,Better Prospects,0.5,1.9,Online,NJ-16,NJ-16,0,3,4,4,5,4.0,5,3,4,4,4,4,5,2,4,5,4,3,4,2,4,4,2,3,3.94,3.11,3.53,NO,NA,NO,1
E125,Male,Bangalore,RM1,BBA,YES,28,0,Personal,0.7,2.9,Online,NJ-16,NJ-16,0,2,4,4,5,3.8,5,2,5,4,2,2,3,2,4,5,3,4,4,2,5,4,4,3,3.51,3.67,3.59,NO,NA,NO,2
E126,Female,Bangalore,RM4,PGDM/MBA_Mkt,YES,27,1,,3.8,19.6,Reference,4.1,4.58,0,4,4,5,4,4.3,2,4,5,4,2,4,5,5,5,4,5,5,5,5,4,3,5,5,4.19,4.50,4.35,,,,
E127,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,23,0,Better Prospects,4.1,3.6,Campus,4.2,NA,1,3,4,3,2,3.0,4,2,4,2,4,4,4,2,5,3,4,4,4,2,3,4,3,5,3.35,3.50,3.43,NO,NA,NO,2
E128,Female,NCR,RM1,PGDM/MBA_Mkt,NO,30,0,Better Prospects,1.2,3.1,Reference,NJ-15,NA,0,3,4,4,3,3.5,3,3,4,3,2,2,4,4,4,4,4,4,4,1,2,4,1,4,3.44,2.68,3.06,NO,NA,NO,2
E129,Female,NCR,RM3,PGDM/MBA_Mkt,YES,29,0,Better Prospects,2.3,9.9,Reference,3.8,NA,0,4,5,5,2,4.0,2,1,4,4,2,4,4,5,5,4,4,4,4,4,3,5,4,4,3.71,4.05,3.88,YES,UA,,4
E130,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,32,0,Better Prospects,1.9,5.5,Walk in,NJ-15,NA,0,1,5,4,3,3.3,1,2,4,5,2,3,5,3,4,4,4,3,5,2,4,4,2,4,3.31,3.50,3.40,NO,NA,NO,1
E131,Male,Bangalore,RM5,PGDM/MBA_Mkt,YES,25,1,,6.7,37.1,Online,4.3,3.31,3,5,4,2,3,3.5,2,5,5,5,4,1,4,4,5,4,3,4,5,5,2,4,4,4,3.74,4.00,3.87,,,,
E132,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,24,0,Personal,2.8,2.8,Campus,3.8,NA,0,4,4,4,3,3.8,5,4,4,5,2,2,4,3,4,5,2,4,4,4,3,5,4,4,3.69,4.00,3.85,NO,NA,NO,2
E133,Female,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,0,Location,2.5,3.9,Reference,4.0,NA,0,2,4,3,4,3.3,4,3,5,3,2,1,4,2,3,4,5,4,4,1,5,5,4,4,3.31,3.83,3.57,NO,NA,NO,1
E134,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,1.6,3.6,Campus,NJ-15,NA,0,4,5,3,5,4.3,2,4,4,3,1,4,4,4,2,3,4,4,3,2,3,4,3,4,3.54,3.17,3.36,NO,NA,NO,2
E135,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,25,0,Involuntary,1.7,12.2,Walk in,NJ-15,NA,0,3,4,2,2,2.8,5,4,5,4,3,2,4,1,2,3,3,4,5,3,2,5,2,2,3.16,3.17,3.16,NO,NA,NO,1
E136,Male,Bangalore,RM1,BBA,NO,22,1,,0,1.6,Agency,NJ-16,NJ-16,0,2,3,4,2,2.8,2,2,4,3,3,5,4,3,2,5,1,3,3,5,5,5,4,2,2.99,4.00,3.49,,,,
E137,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,26,1,,0.9,4.9,Reference,NJ-16,NJ-16,0,4,4,4,5,4.3,3,4,4,3,2,2,4,2,1,4,5,3,5,3,4,5,4,3,3.43,4.00,3.71,,,,
E138,Male,Bangalore,RM1,BCOM,NO,23,1,,0,2,IJP,NJ-16,NJ-16,0,4,3,2,3,3.0,5,4,4,2,2,1,4,4,3,4,4,4,5,2,4,4,4,4,3.29,3.83,3.56,,,,
E139,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,27,1,,4.5,9,Reference,4.3,4.17,1,5,5,4,4,4.5,2,2,4,1,4,4,5,2,3,5,4,4,4,2,4,4,4,4,3.68,3.67,3.67,,,,
E140,Male,Chennai,RM1,PGDM/MBA_Mkt,YES,27,0,Better Prospects,1.5,3.2,Reference,NJ-15,NA,0,2,5,3,3,3.3,2,2,4,5,3,2,3,4,2,3,1,5,5,2,3,4,3,4,3.07,3.50,3.29,NO,NA,NO,2
E141,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,24,0,Location,0.3,0.3,IJP,NJ-16,NJ-16,0,4,5,4,4,4.3,5,4,4,4,4,2,5,1,3,3,3,5,4,3,3,4,3,2,3.78,3.17,3.47,NO,NA,NO,1
E142,Female,NCR,RM4,PGDM/MBA_Mkt,YES,29,1,,4.5,24.2,IJP,4.2,3.65,2,4,4,4,4,4.0,4,4,5,2,1,3,5,5,4,4,3,5,5,3,4,5,4,4,3.82,4.17,4.00,,,,
E143,Female,Bangalore,RM1,BBA,YES,36,1,,3,4,IJP,4.1,3.63,0,2,4,4,2,3.0,4,5,4,4,3,4,4,2,4,4,2,3,5,3,3,5,4,4,3.41,4.00,3.71,,,,
E144,Male,Mumbai,RM5,PGDM/MBA_Mkt,YES,50,0,Better Prospects,2.6,34,IJP,4.2,NA,1,1,5,5,4,3.8,2,3,4,4,1,2,5,3,3,4,4,5,4,3,2,4,5,5,3.46,3.83,3.64,YES,UA,,4
E145,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,31,0,Better Prospects,1.6,5.8,Reference,NJ-15,NA,0,4,4,4,4,4.0,3,4,4,2,4,1,4,1,3,4,1,4,4,3,2,4,5,4,3.24,3.67,3.45,NO,NA,NO,2
E146,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,32,1,,0,11,Reference,NJ-16,NJ-16,0,1,5,4,2,3.0,5,2,5,4,2,4,4,4,4,4,3,5,4,4,1,5,5,2,3.59,3.50,3.54,,,,
E147,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,37,1,,2.9,4.1,IJP,4.0,4.59,0,5,5,3,5,4.5,4,5,4,4,3,3,5,3,4,4,4,4,5,2,4,4,5,5,4.09,4.17,4.13,,,,
E148,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,32,0,Personal,2.4,6.1,Campus,4.1,NA,0,4,4,4,4,4.0,5,4,5,4,1,3,4,3,4,4,4,4,4,1,2,4,5,3,3.82,3.17,3.50,NO,NA,NO,2
E149,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,38,1,,2.3,13.1,Reference,4.0,3.65,0,2,4,4,5,3.8,4,3,4,2,4,1,5,1,1,4,5,4,4,2,5,4,4,3,3.34,3.67,3.50,,,,
E150,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,2.3,3.6,Agency,4.3,NA,0,3,5,5,4,4.3,2,3,4,4,2,5,5,2,5,4,2,2,4,5,4,4,5,4,3.60,4.33,3.97,NO,NA,NO,1
E151,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,23,0,Location,2.9,5.7,Online,4.2,NA,0,2,5,4,5,4.0,4,2,4,4,5,2,4,1,3,3,1,3,5,2,2,5,4,3,3.29,3.50,3.40,NO,NA,NO,1
E152,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,33,0,Better Prospects,4.3,10.5,IJP,4.4,NA,1,1,4,2,4,2.8,5,1,4,5,2,2,5,3,5,5,4,1,4,2,4,5,4,5,3.28,4.00,3.64,YES,UA,,3
E153,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,29,0,Better Prospects,1.8,4.5,IJP,NJ-15,NA,0,3,5,4,4,4.0,4,3,4,3,2,2,5,2,4,5,2,2,3,4,3,4,4,5,3.41,3.83,3.62,NO,NA,NO,2
E154,Male,NCR,RM5,PGDM/MBA_Mkt,YES,42,0,Location,6.7,28.9,Agency,4.4,NA,2,5,5,1,1,3.0,4,2,4,3,4,1,4,2,5,5,3,4,4,4,2,5,4,3,3.29,3.67,3.48,YES,A,,2
E155,Female,NCR,RM1,PGDM/MBA_Mkt,YES,25,0,Job Environment ,0.8,3.9,IJP,NJ-16,NJ-16,0,1,5,4,3,3.3,1,4,5,3,2,3,4,2,2,5,2,2,3,2,2,5,5,4,3.01,3.50,3.26,NO,NA,NO,1
E156,Male,NCR,RM4,PGDM/MBA_Mkt,YES,27,1,,0,23,Walk in,NJ-16,NJ-16,0,4,5,2,4,3.8,3,2,5,4,2,2,5,2,4,5,4,5,5,3,1,5,3,3,3.63,3.33,3.48,,,,
E157,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,0,Job Environment ,1.2,4.3,Walk in,NJ-15,NA,0,3,5,3,2,3.3,2,2,4,1,1,1,4,1,4,5,2,2,5,2,3,4,5,5,2.66,4.00,3.33,NO,NA,NO,1
E158,Female,Chennai,RM5,PGDM/MBA_Mkt,NO,28,1,,3.6,31.2,Reference,4.0,3.98,0,4,5,5,4,4.5,4,4,5,2,1,3,4,4,3,5,2,4,4,4,2,5,5,4,3.74,4.00,3.87,,,,
E159,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,27,0,Better Prospects,2.6,3.1,Reference,3.8,NA,0,4,5,4,5,4.5,4,4,4,3,4,2,4,2,4,5,1,2,4,2,2,4,4,4,3.62,3.33,3.48,NO,NA,NO,3
E160,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,23,0,Job Environment ,0,3.7,IJP,NJ-16,NJ-16,0,4,4,4,4,4.0,5,4,4,3,3,2,4,3,4,5,3,4,4,4,3,4,3,4,3.76,3.67,3.72,NO,NA,NO,2
E161,Male,NCR,RM2,PGDM/MBA_Mkt,YES,30,0,Better Prospects,3.5,4.7,Reference,4.0,NA,0,2,5,4,4,3.8,5,2,4,2,3,1,4,1,5,5,2,3,5,2,1,5,2,5,3.28,3.25,3.26,NO,NA,NO,2
E162,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,29,1,,2.9,12.4,Agency,4.1,4.22,0,4,4,4,4,4.0,4,4,5,3,4,3,4,4,2,5,4,2,4,4,4,4,3,5,3.76,4.00,3.88,,,,
E163,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,32,1,,0.7,2.9,Reference,NJ-16,NJ-16,0,4,4,4,4,4.0,5,4,4,2,4,2,4,1,1,5,1,3,4,5,4,4,4,4,3.29,4.11,3.70,,,,
E164,Male,Chennai,RM1,PGDM/MBA_Mkt,YES,25,0,Better Prospects,0.6,1.8,Online,NJ-16,NJ-16,0,3,5,4,4,4.0,4,3,4,1,4,2,3,3,3,4,4,3,4,3,2,4,4,1,3.41,3.00,3.21,NO,NA,NO,2
E165,Female,Mumbai,RM2,PGDM/MBA_Mkt,NO,24,0,Location,4.3,5.2,Agency,4.2,NA,1,4,4,2,4,3.5,4,4,5,2,2,3,4,2,4,4,5,4,4,1,2,4,4,5,3.56,3.28,3.42,NO,NA,NO,2
E166,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,25,0,Personal,3.9,12.5,Online,4.0,NA,0,2,5,3,4,3.5,5,4,4,2,3,4,4,3,4,4,1,2,4,5,2,4,1,3,3.38,3.17,3.27,NO,NA,NO,3
E167,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,0.8,2.5,Online,NJ-16,NJ-16,0,4,4,1,4,3.3,2,4,5,1,4,1,4,3,4,4,3,2,4,1,4,4,5,5,3.13,3.78,3.46,NO,NA,NO,3
E168,Female,Chennai,RM1,PGDM/MBA_Mkt,NO,25,0,Transfer,0.8,2.6,Online,NJ-16,NJ-16,0,3,5,5,2,3.8,5,3,4,5,1,3,5,4,3,5,2,4,4,2,5,2,3,5,3.69,3.44,3.57,NO,NA,NO,1
E169,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,22,1,,4.4,5.2,Walk in,4.2,4.17,1,4,4,5,5,4.5,3,4,4,2,5,1,4,1,4,3,2,1,5,3,4,4,5,4,3.32,4.11,3.72,,,,
E170,Female,Mumbai,RM3,PGDM/MBA_Mkt,NO,26,0,Better Prospects,2.1,10.9,Online,3.7,NA,0,2,5,4,4,3.8,5,5,4,3,2,3,3,4,3,5,1,1,4,2,2,3,4,4,3.40,3.17,3.28,NO,NA,NO,3
E171,Female,Chennai,RM1,BBA,YES,23,1,,1.7,2.6,IJP,NJ-15,4.70,0,3,4,5,5,4.3,4,1,4,5,5,4,5,4,4,3,5,3,5,5,2,4,4,4,4.01,3.92,3.97,,,,
E172,Female,Bangalore,RM4,PGDM/MBA_Mkt,YES,27,1,,1.8,21.8,Reference,NJ-15,3.57,0,4,4,1,4,3.3,5,4,4,4,5,1,4,5,4,4,5,2,4,4,4,4,4,5,3.72,4.17,3.94,,,,
E173,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,27,0,Better Prospects,3,4.2,Reference,4.0,NA,0,5,4,3,3,3.8,5,5,4,2,4,4,4,2,4,4,1,3,4,2,4,4,4,5,3.57,3.83,3.70,NO,NA,NO,3
E174,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,27,1,,4.5,5.1,Online,4.4,4.17,1,4,4,4,4,4.0,3,4,4,4,4,5,4,3,5,5,4,2,5,2,4,4,4,4,3.94,3.83,3.89,,,,
E175,Male,Mumbai,RM2,MBA(Tier 1) ,NO,25,0,Better Prospects,0,0,Campus,NJ-16,NJ-16,0,3,4,2,5,3.5,4,3,5,4,4,3,4,1,3,5,1,1,4,2,3,4,4,3,3.26,3.33,3.30,NO,NA,NO,3
E176,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,0,2.1,Walk in,NJ-16,NJ-16,0,3,4,1,5,3.3,4,3,4,2,5,2,4,3,4,5,3,3,4,4,2,4,4,4,3.43,3.67,3.55,NO,NA,NO,3
E177,Female,NCR,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,2.3,4.9,Campus,4.0,NA,0,4,4,5,3,4.0,4,4,4,5,2,5,4,3,3,4,4,5,5,5,2,5,3,4,3.94,4.00,3.97,NO,NA,NO,4
E178,Male,NCR,RM2,PGDM/MBA_Mkt,NO,24,0,Location,0.8,6.7,Online,NJ-16,NJ-16,0,4,4,5,5,4.5,4,4,4,1,5,4,4,3,2,4,4,2,5,3,3,5,3,5,3.74,4.00,3.87,NO,NA,NO,1
E179,Female,Bangalore,RM4,PGDM/MBA_Mkt,NO,24,0,Better Prospects,3.3,19.8,Online,3.9,NA,0,4,4,4,5,4.3,5,4,4,5,4,2,4,2,1,4,2,4,4,3,3,4,4,4,3.66,3.67,3.66,YES,UA,,4
E180,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,47,0,Better Prospects,2.8,21.5,Online,4.3,NA,1,2,4,3,2,2.8,5,3,5,5,4,3,4,4,5,4,5,2,4,4,4,5,4,4,3.69,4.17,3.93,YES,UA,,4
E181,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,30,0,Better Prospects,0.3,6.1,Agency,NJ-16,NJ-16,0,3,5,3,4,3.8,1,2,4,4,4,1,4,2,2,4,1,3,4,2,1,4,4,4,2.99,3.17,3.08,NO,NA,NO,2
E182,Male,Mumbai,RM3,PGDM/MBA_Mkt,NO,25,1,,4.2,12.5,Online,4.3,4.06,1,2,4,4,4,3.5,4,4,4,2,5,3,3,4,2,4,3,2,4,2,1,5,1,4,3.38,2.83,3.11,,,,
E183,Male,Bangalore,RM5,PGDM/MBA_Mkt,NO,54,0,Personal,3.2,37.1,Online,4.1,NA,0,4,4,3,2,3.3,2,5,4,1,1,4,4,2,4,5,5,1,5,4,3,4,4,5,3.19,4.17,3.68,YES,UA,,4
E184,Male,Mumbai,RM1,PGDM/MBA_Mkt,NO,27,0,Personal,1.7,4.2,IJP,NJ-15,NA,0,4,4,4,4,4.0,5,4,4,3,3,1,3,2,3,5,1,3,4,1,4,5,3,5,3.35,3.67,3.51,NO,NA,NO,3
E185,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,2.2,3,IJP,3.6,NA,0,2,4,4,1,2.8,4,2,4,4,3,5,5,3,1,5,3,1,5,1,3,3,1,5,3.16,3.00,3.08,NO,NA,NO,3
E186,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,29,0,Location,1.6,5.4,Agency,NJ-15,NA,0,4,4,2,5,3.8,5,4,4,5,2,4,5,4,1,4,4,1,4,3,4,3,2,4,3.63,3.33,3.48,NO,NA,NO,3
E187,Female,NCR,RM3,PGDM/MBA_Mkt,NO,23,0,Better Prospects,5.4,10.1,Reference,4.2,NA,1,4,4,3,4,3.8,4,4,5,3,5,4,4,1,2,4,5,4,4,2,3,5,4,4,3.75,3.67,3.71,YES,UA,,4
E188,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,33,1,,0.9,3.6,Online,NJ-16,NJ-16,0,4,4,5,4,4.3,5,4,5,2,4,4,4,2,4,3,4,2,4,4,2,3,5,1,3.78,3.17,3.47,,,,
E189,Female,Mumbai,RM3,PGDM/MBA_Mkt,NO,29,1,,5,8,Walk in,4.4,3.65,2,4,5,5,5,4.8,4,4,3,4,4,4,4,5,2,5,3,3,4,4,3,5,2,5,4.04,3.83,3.94,,,,
E190,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,0.1,2.8,Reference,NJ-16,NJ-16,0,4,5,5,1,3.8,4,2,5,3,4,3,5,1,4,5,1,5,4,3,2,4,3,4,3.57,3.33,3.45,NO,NA,NO,2
E191,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,25,1,,1.9,4.5,IJP,NJ-15,3.56,0,4,5,5,4,4.5,2,4,5,4,4,4,5,3,5,4,2,1,4,3,5,4,4,4,3.85,4.00,3.93,,,,
E192,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,27,1,,3.1,23.9,Reference,3.9,3.57,0,2,4,3,3,3.0,5,3,4,4,5,4,4,2,2,4,3,1,4,3,3,4,2,5,3.29,3.50,3.40,,,,
E193,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,0.5,3.6,Reference,NJ-16,NJ-16,0,2,4,3,5,3.5,3,5,5,2,2,4,5,4,3,4,1,2,4,2,3,5,3,3,3.38,3.33,3.36,NO,NA,NO,2
E194,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,28,0,Better Prospects,0.3,3.8,Campus,NJ-16,NJ-16,0,2,4,4,4,3.5,5,5,5,4,3,4,5,1,2,4,4,3,4,2,1,5,2,3,3.68,2.83,3.25,NO,NA,NO,2
E195,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,27,0,Involuntary,0,4,IJP,NJ-16,NJ-16,0,4,4,4,4,4.0,5,4,4,4,2,4,5,4,4,4,2,1,5,3,4,5,1,4,3.71,3.67,3.69,NO,NA,NO,2
E196,Female,NCR,RM1,PGDM/MBA_Mkt,NO,23,0,Better Prospects,2.7,3.9,Campus,4.0,NA,0,4,4,3,5,4.0,5,2,4,4,4,3,5,2,3,5,3,3,4,4,2,3,3,5,3.71,3.50,3.60,NO,NA,NO,3
E197,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,30,0,Better Prospects,0,6,Reference,NJ-16,NJ-16,0,4,4,4,2,3.5,1,3,5,1,2,3,4,3,4,5,1,3,4,4,5,5,3,3,3.09,4.00,3.54,NO,NA,NO,2
E198,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,29,1,,0,12,Online,NJ-16,NJ-16,0,3,4,4,4,3.8,2,3,3,4,3,4,4,2,4,5,4,1,4,5,3,3,5,1,3.40,3.50,3.45,,,,
E199,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,32,0,Better Prospects,0.7,2.9,Online,NJ-16,NJ-16,0,3,5,4,3,3.8,1,2,4,3,5,4,5,4,2,4,2,3,5,4,2,5,4,4,3.40,4.00,3.70,NO,NA,NO,3
E200,Female,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,1,,0.6,3.6,IJP,NJ-16,NJ-16,0,4,5,5,5,4.8,3,5,4,4,2,4,5,4,4,3,1,2,5,4,5,4,4,2,3.81,4.00,3.90,,,,
E201,Female,NCR,RM2,PGDM/MBA_Mkt,NO,24,0,Higher Education,1.2,4.9,Walk in,NJ-15,NA,0,4,5,4,2,3.8,5,3,4,3,1,1,4,4,4,4,1,1,5,4,5,5,4,5,3.16,4.67,3.91,NO,NA,NO,1
E202,Male,Chennai,RM1,BBA,YES,25,1,,0.2,2.9,Reference,NJ-16,NJ-16,0,4,4,4,3,3.8,2,4,4,2,5,5,4,3,4,5,3,1,4,2,1,3,5,1,3.57,2.67,3.12,,,,
E203,Male,Bangalore,RM5,PGDM/MBA_Mkt,NO,24,0,Higher Education,0.5,39,IJP,NJ-16,NJ-16,0,3,3,3,4,3.3,5,3,5,4,2,4,3,1,1,5,2,5,5,4,1,4,1,2,3.31,2.83,3.07,NO,NA,NO,2
E204,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,0,Better Prospects,1.3,3.9,Campus,NJ-15,NA,0,3,3,3,3,3.0,5,4,4,4,4,4,4,3,4,5,3,2,4,3,3,5,3,4,3.59,3.67,3.63,NO,NA,NO,2
E205,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,22,1,,3,21.6,Reference,4.0,4.00,0,4,5,4,4,4.3,4,4,5,4,3,4,5,4,3,4,2,1,5,3,3,5,4,5,3.78,4.17,3.97,,,,
E206,Female,Mumbai,RM2,MBA(Tier 1) ,YES,26,0,Higher Education,0,0,Online,NJ-16,NJ-16,0,4,4,2,5,3.8,3,4,5,4,4,3,4,4,4,4,1,3,4,4,2,5,4,5,3.63,4.00,3.82,NO,NA,NO,2
